id,calories,proteins,fat,carbohydrate,name,image,energy_protein,energy_fat,energy_carb,energy_from_macros,pct_protein,pct_fat,pct_carb,label,crit_fat_le_30,crit_carb_45_65,crit_protein_10_20,crit_cal_lt_250,energy_diff_abs,energy_diff_pct
1,0.4710161041231051,-0.06764752221481862,1.516319431407511,-0.788978573835411,Abon,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,-0.06764752221481862,1.5163194314075115,-0.788978573835411,0.4416204277371477,-0.4836240606651716,2.582255962675977,-1.565792682630561,Baik,False,False,True,False,-0.02333738996178645,-0.09315229211559786
2,1.9003338219122743,1.1566446616377564,2.142778110563662,-0.1270992602938233,Abon haruwan,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg,1.1566446616377564,2.1427781105636625,-0.1270992602938233,1.621367974248176,-0.22200774067357126,1.6603199165379352,-1.0669525442977206,Sangat Buruk,False,False,True,False,-0.16783061005979258,-0.17906155136915183
3,-1.2466189215462826,-0.8444398043833489,-0.5378822839649839,-0.788978573835411,Agar-agar,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,-0.8444398043833489,-0.537882283964984,-0.788978573835411,-1.1124803746930638,-1.042252100475674,3.097895107934925,-1.565792682630561,Sangat Buruk,False,False,False,True,-0.1468557877875013,1.8467342071582056
4,-0.9705704352779881,-0.7515624662979812,-0.5233134774729804,-0.4533777951382679,Akar tonjong segar,https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg,-0.7515624662979812,-0.5233134774729805,-0.4533777951382679,-0.8482939340872399,-0.6608044044739544,-0.7111175964579579,0.9684776944410987,Baik,True,False,False,True,-0.09558400001078933,0.06624965376502041
5,-1.019645721725685,-0.47293045204187784,-0.5160290742269787,-0.6708968183678977,Aletoge segar,https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg,-0.47293045204187784,-0.5160290742269787,-0.6708968183678977,-0.9226297949054779,1.0521309596088348,-0.5049072752229995,-0.3418138211394924,Baik,True,False,False,True,-0.16433480634774406,-0.1627682878957416
6,-0.7251940030395042,-0.7684492550407752,-0.07896487946687333,-0.5497076482828183,Alpukat segar,https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg,-0.7684492550407752,-0.07896487946687333,-0.5497076482828183,-0.6252863516325261,-0.8702478942739004,1.5807813106845383,-0.5699880007177803,Sangat Buruk,False,False,False,True,-0.07577444564251423,-0.006792590202670318
7,-0.6577154841739211,-0.5320342126416573,-0.508744670980977,-0.19546238188027834,Ampas kacang hijau,https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg,-0.5320342126416573,-0.508744670980977,-0.19546238188027834,-0.6054991081053693,-0.3622083254844659,-0.770164351153124,0.8097092795904316,Baik,True,False,True,True,-0.1608390026356954,-0.16647896901805004
8,1.2930271521220262,1.4015030984082713,0.7805947035613339,0.4943836632194045,Ampas Tahu,https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg,1.4015030984082713,0.7805947035613341,0.4943836632194045,1.21118376383387,0.040200019914095136,0.5474265022673712,-0.4285216135096183,Buruk,False,False,False,False,0.09202413253581586,-0.07551984746092334
9,-0.7865381110991252,-0.4982606351560691,-0.3994786222909506,-0.4564852097558341,Ampas tahu kukus,https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg,-0.4982606351560691,-0.39947862229095066,-0.4564852097558341,-0.7044353257411536,-0.11018947278761718,-0.007709069945997919,0.08021514609678058,Baik,True,True,False,True,-0.13170730503529104,-0.09865224469264997
10,-0.835613397546822,-0.42227008581349545,-0.3994786222909506,-0.5372779898125538,Ampas tahu mentah,https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg,-0.42227008581349545,-0.39947862229095066,-0.5372779898125538,-0.7408010706018742,0.2028149679476357,0.08685052051239428,-0.20091214294540374,Baik,True,True,False,True,-0.11772409018709667,-0.05688873563748762
11,-0.11788733324925643,0.7429183374393,0.46736536398325834,-0.788978573835411,Anak sapi daging gemuk segar,https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png,0.7429183374393,0.4673653639832584,-0.788978573835411,-0.0461083856889889,0.6167316979312264,1.5665774388484297,-1.565792682630561,Sangat Buruk,False,False,False,True,0.03259546943099038,-0.005882192290272467
12,-0.17923144130887741,0.8104654924104767,0.17598923414318812,-0.788978573835411,Anak sapi daging kurus segar,https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg,0.8104654924104767,0.17598923414318815,-0.788978573835411,-0.2215196256054064,1.0242043446314606,1.1904616117012943,-1.565792682630561,Sangat Buruk,False,False,False,True,-0.10257560743488651,-0.11169542163190012
